Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is an EBS (Elastic Block Store) Volume?","A physical drive attached directly to EC2 instances","A network drive that can be attached to EC2 instances while they run, allowing data persistence even after termination","A global storage service accessible from anywhere","A temporary storage that is deleted when instance stops","B","An EBS Volume is a network drive you can attach to your instances while they run. It allows your instances to persist data, even after their termination. They can only be mounted to one instance at a time and are bound to a specific availability zone."
"What happens to an EBS volume when you move it to a different Availability Zone?","It can be directly attached to instances in the new AZ","You must first create a snapshot, then restore it in the new AZ","EBS volumes can freely move between AZs without any action","The volume is automatically replicated to all AZs","B","EBS volumes are locked to an Availability Zone (AZ). An EBS Volume in us-east-1a cannot be attached to us-east-1b. To move a volume across, you first need to snapshot it, then restore the snapshot to another AZ."
"What is the default behavior of the root EBS volume when an EC2 instance terminates?","It is preserved and detached","It is deleted by default (Delete on Termination attribute enabled)","It is automatically backed up to S3","It remains attached to the terminated instance","B","By default, the root EBS volume is deleted when an EC2 instance terminates (Delete on Termination attribute enabled). By default, any other attached EBS volume is not deleted. This can be controlled via AWS console or CLI."
"What are EBS Snapshots?","Real-time backups that continuously sync data","Point-in-time backups of EBS volumes that can be copied across AZ or Region","Automatic backups that run every hour","Backups stored only in the same AZ as the volume","B","EBS Snapshots are backups (snapshots) of your EBS volume at a point in time. Not necessary to detach volume to do snapshot, but recommended. Can copy snapshots across AZ or Region."
"What is EBS Snapshot Archive?","A feature that automatically deletes old snapshots","A feature to move snapshots to an archive tier that is 75% cheaper, taking 24-72 hours to restore","A feature that compresses snapshots","A feature that encrypts snapshots","B","EBS Snapshot Archive moves a Snapshot to an archive tier that is 75% cheaper. Takes within 24 to 72 hours for restoring the archive. Useful for long-term storage of infrequently accessed snapshots."
"What is the Recycle Bin for EBS Snapshots?","A feature that permanently deletes snapshots","Setup rules to retain deleted snapshots so you can recover them after accidental deletion (retention from 1 day to 1 year)","A feature that automatically archives old snapshots","A feature that compresses deleted snapshots","B","Recycle Bin for EBS Snapshots allows you to setup rules to retain deleted snapshots so you can recover them after an accidental deletion. Specify retention (from 1 day to 1 year)."
"What is Fast Snapshot Restore (FSR)?","A feature that speeds up snapshot creation","Force full initialization of snapshot to have no latency on the first use (expensive)","A feature that automatically restores snapshots","A feature that compresses snapshots","B","Fast Snapshot Restore (FSR) forces full initialization of snapshot to have no latency on the first use. This is an expensive feature but provides instant performance when restoring volumes from snapshots."
"What is an AMI (Amazon Machine Image)?","A backup of an EC2 instance","A customization of an EC2 instance with your own software, configuration, operating system, and monitoring - faster boot time","A network drive for EC2 instances","A load balancer configuration","B","AMI = Amazon Machine Image. AMIs are a customization of an EC2 instance. You add your own software, configuration, operating system, monitoring. Faster boot/configuration time because all your software is pre-packaged."
"What happens when you create an AMI from an EC2 instance?","Only the instance configuration is saved","It creates EBS snapshots of the instance's volumes","The instance is automatically terminated","The instance is moved to a different region","B","To create an AMI: Start an EC2 instance and customize it, Stop the instance (for data integrity), Build an AMI - this will also create EBS snapshots. You can then launch instances from the AMI."
"What is EC2 Instance Store?","A network-attached storage service","High-performance hardware disk physically attached to the host - ephemeral storage that loses data when instance stops","A backup service for EC2 instances","A shared storage service across instances","B","EC2 Instance Store provides high-performance hardware disk. Better I/O performance than EBS. EC2 Instance Store lose their storage if they're stopped (ephemeral). Good for buffer/cache/scratch data/temporary content. Risk of data loss if hardware fails."
"What are the EBS volume types?","Only gp2 and io1","gp2/gp3 (SSD General Purpose), io1/io2 Block Express (SSD Provisioned IOPS), st1 (HDD Throughput Optimized), sc1 (HDD Cold)","Only SSD types","Only HDD types","B","EBS Volumes come in 6 types: gp2/gp3 (SSD General Purpose), io1/io2 Block Express (SSD Provisioned IOPS), st1 (HDD Throughput Optimized), sc1 (HDD Cold). Only gp2/gp3 and io1/io2 Block Express can be used as boot volumes."
"What are the characteristics of gp3 (General Purpose SSD) volumes?","Same as gp2 with no improvements","Baseline of 3,000 IOPS and throughput of 125 MiB/s, can increase IOPS up to 16,000 and throughput up to 1000 MiB/s independently","Maximum 3,000 IOPS regardless of size","Only available for boot volumes","B","gp3: Baseline of 3,000 IOPS and throughput of 125 MiB/s. Can increase IOPS up to 16,000 and throughput up to 1000 MiB/s independently. Cost effective storage, low-latency. Size range: 1 GiB - 16 TiB."
