Type,Number,Front,Back
Key Point,1,"Deploy instances across multiple Availability Zones (minimum 2, preferably 3+) within a region. Required components: Application Load Balancer (ALB) or Network Load Balancer (NLB) to distribute traffic, Auto Scaling Groups to maintain capacity, health checks to replace unhealthy instances, multi-AZ deployment ensures availability if one AZ fails.","How does deploying EC2 instances across multiple AZs enhance high availability, and what components are needed?"
Key Point,2,"Elasticity: Ability to scale resources up/down based on demand (dynamic, automatic). Scalability: Ability to increase capacity to handle growth (planned, manual or automatic). AWS enables both: Auto Scaling provides elasticity (automatic scaling), manual scaling or right-sizing provides scalability. CloudWatch monitors metrics to trigger elastic scaling.","What is the difference between elasticity and scalability, and how does AWS enable both?"
Key Point,3,"EC2 Security Best Practices: Use IAM roles (not access keys), implement least-privilege Security Groups, use Network ACLs for subnet-level control, enable VPC isolation, encrypt EBS volumes at rest, encrypt data in transit (TLS/SSL), enable CloudTrail for audit logs, use Systems Manager for patch management, enable IMDSv2, regular security audits.","What are the key security best practices for EC2 instances at the Solution Architect level?"
Key Point,4,"CloudWatch provides metrics, logs, and alarms. CloudTrail logs API calls for auditing. Together: CloudWatch monitors performance/health (CPU, network, custom metrics), CloudTrail audits who did what/when (IAM actions, resource changes), use both for: complete visibility, security compliance, troubleshooting, governance. CloudWatch Alarms can trigger based on CloudTrail events.","How can CloudWatch and CloudTrail be used together for comprehensive monitoring and auditing?"
Key Point,5,"Backup Strategies: Create AMIs regularly (full system backup), EBS snapshots (incremental, point-in-time recovery), cross-region replication for disaster recovery, automated snapshots via Data Lifecycle Manager, test recovery procedures regularly. Disaster Recovery: Define RTO (Recovery Time Objective) and RPO (Recovery Point Objective), implement backup/restore, pilot light, warm standby, or multi-site active/active patterns based on requirements.","What backup and disaster recovery strategies should be implemented for EC2-based applications?"
Key Point,6,"VPC Components: Public subnets (route to Internet Gateway for internet access), Private subnets (no direct internet, use NAT Gateway for outbound), Route Tables (control traffic routing), Internet Gateway (internet access), NAT Gateway (private subnet internet access), VPC Endpoints (private AWS service access), Security Groups and NACLs (network security). Well-designed: proper subnet segmentation, least-privilege networking, scalability considerations.","What are the key components of a well-designed VPC architecture in AWS?"
Key Point,7,"Load Balancer Types: Application Load Balancer (ALB) - Layer 7 HTTP/HTTPS, content-based routing, SSL termination, container support; Network Load Balancer (NLB) - Layer 4 TCP/UDP, extreme performance, static IP, handles millions of requests; Classic Load Balancer (CLB) - Legacy, basic HTTP/HTTPS/TCP. Use ALB for web apps, NLB for high-performance TCP, CLB for legacy apps.","What are the differences between ALB, NLB, and CLB, and when should each be used?"
Key Point,8,"EC2 Cost Optimization: Choose right pricing model (Reserved for steady state, Spot for fault-tolerant, On-Demand for unpredictable), right-size instances (use CloudWatch metrics, avoid over-provisioning), use Savings Plans (flexible compute discounts), implement Auto Scaling (scale down when not needed), use Spot Instances where appropriate, monitor with Cost Explorer, set up billing alerts, use instance scheduling for non-production.","What factors should be considered when optimizing EC2 costs, and what tools help with cost management?"
Key Point,9,"Multi-Tier Architecture: Web tier (public subnet, ALB, Auto Scaling), Application tier (private subnet, internal ALB, Auto Scaling), Database tier (private subnet, no internet, RDS with Multi-AZ). Security: Security Groups between tiers (allow only required traffic), Network ACLs for subnet-level control, VPC isolation, encryption in transit and at rest, IAM roles per tier.","How do you design a secure multi-tier EC2 architecture with proper network segmentation?"
Key Point,10,"Storage Selection Factors: Durability (EBS 99.8-99.9%, Instance Store 0% - data lost on termination), Performance (Instance Store highest IOPS, EBS gp3/gp2 good, io1/io2 highest for EBS), Cost (Instance Store included, EBS charged separately), Persistence (EBS survives termination, Instance Store doesn't), Use Cases (EBS for databases/persistent data, Instance Store for cache/temporary, EFS for shared file system).","What factors should be considered when choosing between EBS, Instance Store, and EFS for storage?"
Key Point,11,"Auto Scaling Configuration: Target Tracking (maintain specific metric at target value), Step Scaling (scale by steps based on breach thresholds), Simple Scaling (scale up/down by fixed amount). Setup: Define scaling policies, configure CloudWatch alarms, set cooldown periods (prevent rapid scaling), lifecycle hooks (run scripts during scaling events), health checks, minimum/maximum/desired capacity.","How do you configure Auto Scaling Groups for optimal performance and cost efficiency?"
Key Point,12,"Network Performance Strategies: Use Enhanced Networking (SR-IOV) for higher bandwidth, choose instance types with sufficient network bandwidth (larger instances = more bandwidth), use Placement Groups (Cluster for low latency between instances), use VPC Endpoints (avoid internet gateway for AWS services), optimize security group rules (fewer rules = better performance), use NLB for extreme performance requirements.","What strategies improve EC2 network performance, and how do Placement Groups help?"
Key Point,13,"Disaster Recovery Patterns: Backup and Restore (lowest cost, highest RTO/RPO), Pilot Light (minimal resources running, scale up on disaster), Warm Standby (scaled-down version running, quick failover), Multi-Site Active/Active (full production in multiple sites, lowest RTO). Cost: Backup/Restore cheapest, Active/Active most expensive. Recovery Time: Backup/Restore slowest (hours), Active/Active fastest (minutes).","What are the different disaster recovery patterns for EC2, and how do they differ in cost and recovery time?"
Key Point,14,"HPC EC2 Features: Cluster Placement Groups (ultra-low latency networking between instances), Enhanced Networking (high bandwidth, low latency), instance types with high network bandwidth (p3, p4d for GPU, c5n for CPU), parallel file systems (Amazon FSx for Lustre), Elastic Fabric Adapter (EFA) for HPC workloads requiring OS-bypass networking. Essential for: scientific computing, rendering, financial modeling.","What EC2 features and configurations are essential for High Performance Computing workloads?"
Key Point,15,"Container Deployment Options: Amazon ECS (managed container orchestration, EC2 or Fargate launch types), Amazon EKS (managed Kubernetes, self-managed or Fargate), Self-managed Kubernetes on EC2 (full control). Architecture: Use ALB/NLB for load balancing, Auto Scaling for container instances, CloudWatch for monitoring, IAM roles for permissions, VPC for networking. Choose based on: control needs, Kubernetes preference, management overhead.","How do you architect containerized applications on EC2, and what are the deployment options?"
Key Point,16,"Hybrid Cloud Options: AWS Site-to-Site VPN (IPsec VPN connection, cost-effective, over internet), AWS Direct Connect (dedicated network connection, private, lower latency, consistent bandwidth), AWS VPN (managed VPN service). Setup: Create Virtual Private Gateway in VPC, configure routing (route tables), security groups/NACLs, BGP routing for dynamic routing. Use VPN for: quick setup, cost-effective. Use Direct Connect for: high bandwidth, consistent performance, compliance.","What are the options for integrating on-premises infrastructure with EC2 instances in AWS?"
Key Point,17,"Multi-Region Considerations: Data replication strategy (synchronous vs asynchronous), latency implications, data consistency, compliance (data residency), cost (cross-region data transfer), Route 53 for global routing, CloudFront for content delivery, disaster recovery requirements, application architecture (active-active vs active-passive), database replication, backup strategies. Design for: global availability, disaster recovery, compliance, performance.","What considerations are important when designing a multi-region EC2 architecture?"
Key Point,18,"EC2 Performance Optimization: Right-size instances (use CloudWatch metrics to identify underutilized resources), use appropriate EBS volume types (gp3 for most workloads, io1/io2 for high IOPS databases), optimize application code (remove bottlenecks), use CloudWatch to identify performance issues, enable Enhanced Networking, use Placement Groups for low latency, optimize security groups (minimize rules), use Auto Scaling for dynamic workloads.","What strategies help optimize EC2 and application performance?"
Key Point,19,"Security Group Best Practices: Implement least privilege (only required ports/protocols), avoid overly permissive rules (0.0.0.0/0 only when necessary), use security group references (reference other SGs instead of IPs when possible), separate SGs for different tiers (web, app, DB), regular auditing (review and remove unused rules), document rules (use descriptions), use NACLs for additional subnet-level control, combine with IAM for defense in depth.","What are the security group best practices for production EC2 deployments?"
Key Point,20,"Instance Lifecycle Management: Use Systems Manager (SSM) for patch management (Patch Manager), automation documents for routine tasks, Session Manager for secure shell access, Parameter Store for configuration management, lifecycle policies for AMI management (delete old AMIs), use CloudWatch Events for automated tasks, implement maintenance windows, use Systems Manager Distributor for software installation. Best practices: automated patching, regular AMI updates, configuration drift detection.","How do you manage EC2 instance lifecycle, patching, and maintenance at scale?"
