Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is an Elastic Load Balancer (ELB) and what are its main benefits?","An ELB is a physical hardware device that must be installed in your data center to distribute traffic across EC2 instances with manual configuration and maintenance required","An Elastic Load Balancer is a managed load balancer that distributes traffic across multiple downstream servers. Benefits: AWS guarantees it will be working, AWS handles upgrades/maintenance/high availability, integrated with EC2/ECS/ACM/CloudWatch/Route 53, provides SSL termination, health checks, and high availability across zones.","An ELB is a software application that runs on EC2 instances and requires manual installation, configuration, and ongoing maintenance by the user","ELBs can only distribute traffic within a single Availability Zone and cannot provide high availability or integrate with other AWS services","B","An Elastic Load Balancer is a managed load balancer. AWS guarantees that it will be working. AWS takes care of upgrades, maintenance, high availability. It is integrated with many AWS offerings: EC2, EC2 Auto Scaling Groups, Amazon ECS, AWS Certificate Manager (ACM), CloudWatch, Route 53, AWS WAF, AWS Global Accelerator."
"What are the four types of Load Balancers available in AWS?","AWS provides only two load balancer types: Classic Load Balancer and Application Load Balancer, with no other options available","AWS has 4 kinds of managed Load Balancers: Classic Load Balancer (v1 - old generation, 2009) - HTTP, HTTPS, TCP, SSL; Application Load Balancer (v2, 2016) - HTTP, HTTPS, WebSocket; Network Load Balancer (v2, 2017) - TCP, TLS, UDP; Gateway Load Balancer (2020) - operates at layer 3 (Network layer - IP Protocol). It is recommended to use newer generation load balancers.","All load balancer types provide identical functionality with the same features, performance, and pricing, making the choice purely cosmetic","Load balancers can only be used with EC2 instances and cannot integrate with container services, serverless functions, or other AWS compute services","B","AWS has 4 kinds of managed Load Balancers: Classic Load Balancer (v1 - old generation) – 2009 – CLB; Application Load Balancer (v2 - new generation) – 2016 – ALB; Network Load Balancer (v2 - new generation) – 2017 – NLB; Gateway Load Balancer – 2020 – GWLB. Overall, it is recommended to use the newer generation load balancers as they provide more features."
"What is the difference between Application Load Balancer (ALB) and Network Load Balancer (NLB)?","ALB and NLB are identical load balancers with the same features, performance characteristics, and use cases, making them interchangeable","Application Load Balancer (ALB) operates at Layer 7 (HTTP/HTTPS), supports content-based routing, path-based routing, host-based routing, WebSocket, SSL termination, and container support. Network Load Balancer (NLB) operates at Layer 4 (TCP/TLS/UDP), provides extreme performance, static IP addresses, handles millions of requests per second, and is best for high-performance TCP workloads.","ALB can only be used for HTTP traffic while NLB can only be used for HTTPS traffic, with no support for other protocols or routing capabilities","ALB requires manual configuration and maintenance while NLB is fully automated, with no other differences in functionality or performance","B","Application Load Balancer (ALB) is Layer 7 (HTTP/HTTPS), load balancing to multiple HTTP applications across machines (target groups), load balancing to multiple applications on the same machine. Network Load Balancer (NLB) is Layer 4 (TCP, TLS, UDP), extreme performance, static IP, handles millions of requests."
"How do Load Balancer Health Checks work, and why are they important?","Health checks are automatically performed by AWS without any configuration, and they only verify that instances are running without checking application functionality","Health Checks enable the load balancer to know if instances are available to reply to requests. The health check is done on a port and a route (/health is common). If the response is not 200 (OK), then the instance is unhealthy and traffic is stopped. Health checks are crucial for ensuring only healthy instances receive traffic.","Health checks can only be configured for HTTP traffic and cannot be used with TCP, HTTPS, or other protocols, limiting their effectiveness for non-web applications","Load balancer health checks require manual intervention to remove unhealthy instances, as they cannot automatically stop routing traffic to failed instances","B","Health Checks are crucial for Load Balancers. They enable the load balancer to know if instances it forwards traffic to are available to reply to requests. The health check is done on a port and a route (/health is common). If the response is not 200 (OK), then the instance is unhealthy."
"What is Connection Draining (Deregistration Delay) in Load Balancers?","Connection draining automatically terminates all active connections immediately when an instance is deregistered, ensuring instant removal from the load balancer","Connection Draining (CLB) / Deregistration Delay (ALB & NLB) is the time to complete in-flight requests while the instance is de-registering or unhealthy. Stops sending new requests to the EC2 instance which is de-registering. Between 1 to 3600 seconds (default: 300 seconds). Can be disabled (set value to 0). Set to a low value if your requests are short.","Connection draining can only be enabled for Application Load Balancers and is not available for Network Load Balancers or Classic Load Balancers","Connection draining requires manual configuration for each instance and cannot be automatically managed by the load balancer during scaling events","B","Connection Draining – for CLB. Deregistration Delay – for ALB & NLB. Time to complete in-flight requests while the instance is de-registering or unhealthy. Stops sending new requests to the EC2 instance which is de-registering. Between 1 to 3600 seconds (default: 300 seconds). Can be disabled (set value to 0)."
"What is an Auto Scaling Group (ASG) and what are its main purposes?","Auto Scaling Groups automatically resize EC2 instances vertically by changing instance types, with no support for horizontal scaling or adding/removing instances","An Auto Scaling Group (ASG) automatically scales EC2 instances based on demand. Main purposes: Scale out (add EC2 instances) to match increased load, Scale in (remove EC2 instances) to match decreased load, Ensure minimum and maximum number of EC2 instances running, Automatically register new instances to a load balancer, Re-create EC2 instances if previous ones are terminated (ex: if unhealthy). ASGs are free (you only pay for underlying EC2 instances).","ASGs can only scale instances within a single Availability Zone and cannot distribute instances across multiple AZs for high availability","Auto Scaling Groups require manual intervention for each scaling action and cannot automatically adjust capacity based on metrics or demand","B","The goal of an Auto Scaling Group (ASG) is to: Scale out (add EC2 instances) to match an increased load, Scale in (remove EC2 instances) to match a decreased load, Ensure we have a minimum and a maximum number of EC2 instances running, Automatically register new instances to a load balancer, Re-create an EC2 instance in case a previous one is terminated (ex: if unhealthy). ASG are free (you only pay for the underlying EC2 instances)."
"What are the key attributes required to configure an Auto Scaling Group?","ASGs only require specifying the minimum and maximum number of instances, with all other configuration automatically handled by AWS","Auto Scaling Group Attributes: A Launch Template (older Launch Configurations are deprecated) - AMI + Instance Type, EC2 User Data, EBS Volumes, Security Groups, SSH Key Pair, IAM Roles, Network + Subnets Information, Load Balancer Information. Also requires: Min Size / Max Size / Initial Capacity, Scaling Policies.","ASG configuration is automatically determined by AWS based on application type, with no manual setup or configuration options available to users","Auto Scaling Groups can only be configured using command-line tools and cannot be set up through the AWS Console or CloudFormation templates","B","Auto Scaling Group Attributes: A Launch Template (older Launch Configurations are deprecated) - AMI + Instance Type, EC2 User Data, EBS Volumes, Security Groups, SSH Key Pair, IAM Roles for your EC2 Instances, Network + Subnets Information, Load Balancer Information. Min Size / Max Size / Initial Capacity, Scaling Policies."
"How does Auto Scaling integrate with CloudWatch for dynamic scaling?","CloudWatch integration requires manual monitoring and scaling actions, as ASGs cannot automatically respond to CloudWatch alarms or metrics","Auto Scaling integrates with CloudWatch by scaling based on CloudWatch alarms. An alarm monitors a metric (such as Average CPU, or a custom metric). Metrics such as Average CPU are computed for the overall ASG instances. Based on the alarm: We can create scale-out policies (increase the number of instances), We can create scale-in policies (decrease the number of instances).","CloudWatch alarms can only trigger scaling for CPU metrics and cannot be used with custom metrics, network traffic, or other performance indicators","Auto Scaling Groups automatically scale based on time of day only and cannot integrate with CloudWatch metrics or alarms for dynamic scaling","B","It is possible to scale an ASG based on CloudWatch alarms. An alarm monitors a metric (such as Average CPU, or a custom metric). Metrics such as Average CPU are computed for the overall ASG instances. Based on the alarm: We can create scale-out policies (increase the number of instances), We can create scale-in policies (decrease the number of instances)."
"What are the different Auto Scaling scaling policies available?","Auto Scaling only supports manual scaling where administrators must manually add or remove instances based on observed demand","Auto Scaling Scaling Policies: Target Tracking Scaling - Simple to set-up, example: I want the average ASG CPU to stay at around 40%. Simple / Step Scaling - When a CloudWatch alarm is triggered (example CPU > 70%), then add 2 units; When a CloudWatch alarm is triggered (example CPU < 30%), then remove 1. Scheduled Scaling - Anticipate scaling based on known usage patterns, example: increase the min capacity to 10 at 5 pm on Fridays. Predictive Scaling - Continuously forecast load and schedule scaling ahead.","Scaling policies are automatically configured by AWS based on instance type and cannot be customized or modified by users","All scaling policies provide identical functionality with the same performance and cost characteristics, making the choice purely based on personal preference","B","Dynamic Scaling: Target Tracking Scaling - Simple to set-up, Example: I want the average ASG CPU to stay at around 40%. Simple / Step Scaling - When a CloudWatch alarm is triggered (example CPU > 70%), then add 2 units; When a CloudWatch alarm is triggered (example CPU < 30%), then remove 1. Scheduled Scaling - Anticipate a scaling based on known usage patterns, Example: increase the min capacity to 10 at 5 pm on Fridays. Predictive scaling: continuously forecast load and schedule scaling ahead."
"What metrics can be used to trigger Auto Scaling policies?","Auto Scaling can only use CPU utilization metrics and cannot monitor or scale based on other performance indicators or custom metrics","Auto Scaling can use various CloudWatch metrics: CPUUtilization (Average CPU), RequestCountPerTarget (number of requests per target in target group), Average Network In/Out (network traffic), Custom metrics (any metric you send to CloudWatch), Any CloudWatch metric. Metrics are computed for the overall ASG instances.","Scaling metrics are automatically selected by AWS and cannot be customized or changed by users, limiting flexibility in scaling configuration","Auto Scaling metrics can only be monitored for a single instance at a time and cannot aggregate metrics across multiple instances in an ASG","B","Metrics that can be used: CPUUtilization: Average CPU, RequestCountPerTarget: number of requests per target in target group, Average Network In/Out: network traffic, Custom metrics: any metric you send to CloudWatch, Any CloudWatch metric. Metrics such as Average CPU are computed for the overall ASG instances."
