Type,Number,Front,Back
Key Point,1,"AWS Global Infrastructure - AWS operates in multiple regions worldwide, each containing multiple Availability Zones (AZs) to ensure high availability and fault tolerance.","What is the relationship between AWS Regions and Availability Zones, and why is this architecture important for high availability?"
Key Point,2,"AWS Free Tier - New users can explore AWS services at no cost up to certain limits, allowing experimentation and learning without financial commitment.","What types of services are typically included in the AWS Free Tier, and how long does free tier access typically last?"
Key Point,3,"AWS Management Console - A web-based interface to access and manage AWS services, providing a graphical user interface for resource management.","What are the primary functions of the AWS Management Console, and when might you choose it over the AWS CLI?"
Key Point,4,"AWS Command Line Interface (CLI) - A tool to manage AWS services from the command line, enabling automation through scripts and programmatic access.","How can the AWS CLI enhance resource management compared to using the Management Console alone?"
Key Point,5,"AWS Identity and Access Management (IAM) - Service to manage access to AWS resources securely, controlling who can access what resources and how.","What role does IAM play in AWS security, and what are the core components of IAM?"
Key Point,6,"Amazon S3 - Scalable object storage service for data storage, backup, archival, and analytics. Provides 99.999999999% durability.","How does Amazon S3 differ from traditional file systems, and what are its primary use cases?"
Key Point,7,"Amazon EC2 - Provides resizable compute capacity in the cloud, allowing users to run virtual servers with various configurations.","What are the key benefits of using Amazon EC2 compared to traditional on-premises servers?"
Key Point,8,"AWS Lambda - Serverless compute service that runs code in response to events without provisioning or managing servers.","What are the benefits of using AWS Lambda for serverless computing, and what are its typical use cases?"
Key Point,9,"Amazon RDS - Managed relational database service supporting various database engines including MySQL, PostgreSQL, Oracle, and SQL Server.","How does Amazon RDS simplify database management compared to self-managed database instances on EC2?"
Key Point,10,"AWS VPC - Virtual Private Cloud enables users to launch AWS resources in a logically isolated network with complete control over IP address ranges, subnets, and routing.","Explain the function of AWS Virtual Private Cloud (VPC) and why network isolation is important."
Key Point,11,"AWS CloudFormation - Infrastructure as Code service for modeling and setting up AWS resources using templates, enabling reproducible infrastructure deployments.","How does AWS CloudFormation assist in infrastructure management, and what are the benefits of Infrastructure as Code?"
Key Point,12,"AWS Elastic Beanstalk - Platform as a Service (PaaS) for deploying and managing applications, handling capacity provisioning, load balancing, and auto-scaling automatically.","What types of applications benefit most from AWS Elastic Beanstalk, and how does it simplify deployment?"
Key Point,13,"AWS Auto Scaling - Automatically adjusts capacity to maintain steady, predictable performance at the lowest possible cost.","How does AWS Auto Scaling help maintain application performance, and what triggers can be used for scaling?"
Key Point,14,"AWS CloudWatch - Monitoring and observability service for AWS resources and applications, providing metrics, logs, and alarms.","What are the key features of AWS CloudWatch, and how does it help with application monitoring?"
Key Point,15,"AWS Route 53 - Scalable Domain Name System (DNS) web service that routes end users to internet applications.","What are the primary functions of AWS Route 53, and how does it differ from traditional DNS services?"
Key Point,16,"AWS Security Groups - Virtual firewalls that control inbound and outbound traffic to AWS resources, operating at the instance level.","How do Security Groups enhance security in AWS, and what are the key characteristics of Security Group rules?"
Key Point,17,"AWS Elastic Load Balancing - Distributes incoming application traffic across multiple targets such as EC2 instances, containers, and IP addresses.","What are the different types of Elastic Load Balancers in AWS, and when would you use each type?"
Key Point,18,"AWS Auto Scaling Groups - Ensures you have the correct number of Amazon EC2 instances available to handle the load for your application.","How do Auto Scaling Groups work together with Elastic Load Balancing to provide high availability?"
Key Point,19,"AWS Trusted Advisor - Provides real-time guidance to help provision resources following AWS best practices across cost optimization, security, performance, and fault tolerance.","What types of recommendations does AWS Trusted Advisor provide, and which AWS Support plans include full access?"
Key Point,20,"AWS CloudTrail - Service that enables governance, compliance, and operational and risk auditing of AWS accounts by logging API calls.","How does AWS CloudTrail help with security auditing and compliance, and what information does it log?"
Key Point,21,"AWS Organizations - Service to centrally manage and govern multiple AWS accounts, enabling consolidated billing and policy management.","What are the key benefits of using AWS Organizations, and how does it help with account management?"
Key Point,22,"AWS Well-Architected Framework - Guidelines to build secure, high-performing, resilient, and efficient infrastructure based on five pillars: Operational Excellence, Security, Reliability, Performance Efficiency, and Cost Optimization.","What are the five pillars of the AWS Well-Architected Framework, and how does it help design better architectures?"
Key Point,23,"AWS Shared Responsibility Model - AWS manages security of the cloud (infrastructure, hardware, software, networking), while customers manage security in the cloud (data, configurations, access management).","How does the AWS Shared Responsibility Model define security responsibilities between AWS and customers?"
Key Point,24,"AWS Support Plans - Various support levels available: Basic (free), Developer, Business, and Enterprise, each offering different levels of technical support and access to resources.","What are the different AWS support plans available to customers, and what features differentiate them?"
Key Point,25,"AWS Marketplace - Digital catalog with thousands of software listings from independent software vendors, enabling easy discovery and deployment of third-party solutions.","What are the benefits of using AWS Marketplace, and how does it simplify software procurement and deployment?"
Key Point,26,"AWS Pricing Models - Includes Pay-as-you-go, Reserved Instances, and Spot Instances, offering flexibility based on usage patterns and commitment levels.","How do AWS pricing models differ, and what factors should be considered when choosing between them?"
Key Point,27,"AWS IAM Roles - Assign permissions to AWS services to perform actions on your behalf without storing long-term credentials.","What are the advantages of using IAM Roles instead of access keys for AWS service permissions?"
Key Point,28,"AWS Regions Selection - Choose regions based on factors like latency requirements, data residency/compliance needs, service availability, and pricing.","What factors should be considered when choosing an AWS region for your applications?"
Key Point,29,"AWS Resource Tagging - Label AWS resources with metadata tags to organize, track, and manage resources, enabling cost allocation and automation.","How does AWS resource tagging help with resource management, cost tracking, and automation?"
Key Point,30,"AWS Service Limits - Each AWS service has default limits on resources and API requests to prevent runaway usage and ensure fair resource allocation.","How can you check and request increases for AWS service limits, and why do these limits exist?"

