Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is an AWS Region and how many Availability Zones does it typically contain?","A single data center facility in a geographic location with redundant power and networking","A cluster of data centers in a geographic location, typically containing 3-6 Availability Zones, which are isolated data centers with redundant power, networking, and connectivity","A global network endpoint that automatically routes traffic to the nearest data center based on user location","A collection of edge locations and content delivery points in a specific country or area","B","AWS Regions are clusters of data centers in geographic locations. Each region has multiple Availability Zones (usually 3-6), which are isolated data centers with redundant power, networking, and connectivity. Regions are completely isolated from each other for fault tolerance."
"What factors should you consider when choosing an AWS region for your application?","Only the cost of services and the number of available services in that region","Compliance/data governance requirements, proximity to customers (latency), service availability, and pricing (varies by region). Data never leaves a region without explicit permission","Only the geographic location and time zone alignment with your business operations","Only the number of Availability Zones and the redundancy level provided by AWS","B","Choose AWS regions based on: compliance/data governance requirements, proximity to customers (latency), service availability, and pricing (varies by region). Data never leaves a region without explicit permission."
"Which AWS services are Global (work across all regions) versus Region-scoped?","All AWS services are global and automatically replicated across all regions without any configuration","IAM, Route 53, CloudFront, WAF are global; EC2, Elastic Beanstalk, Lambda are region-scoped and must be explicitly replicated across regions","All services are region-scoped and must be manually configured in each region where you want to use them","Only compute services like EC2 and Lambda are global, while storage services are region-scoped","B","AWS Global services operate across all regions: IAM, Route 53, CloudFront, WAF. Most AWS services are Region-scoped: EC2, Elastic Beanstalk, Lambda, and must be explicitly replicated across regions."
"What is the AWS Free Tier and what types of free offerings does it include?","A limited-time promotion that provides all AWS services free for the first 30 days after account creation","Always Free (S3, Lambda, DynamoDB), 12 Months Free (EC2, RDS), and Trials (various services). Some services are free forever, others for 12 months","A credit-based system where you receive $100 in free credits to use on any AWS service for one year","Free access to all AWS services with usage limits that reset monthly, available indefinitely for all accounts","B","The AWS Free Tier allows new customers to use AWS services at no charge within certain limits. It includes: Always Free (S3, Lambda, DynamoDB), 12 Months Free (EC2, RDS), and Trials (various services)."
"When should you use the AWS Management Console versus the AWS CLI?","Console for automation and scripting, CLI for visual resource management and one-time tasks","Console for visual resource management and one-time tasks, CLI for automation, scripting, programmatic access, and CI/CD pipelines","Both tools provide identical functionality, so the choice is purely based on personal preference","Console is for Windows users, CLI is for Linux and Mac users only","B","The AWS Management Console is a web-based GUI for managing AWS resources. Use it for: visual resource management, one-time tasks, learning AWS. Use AWS CLI for: automation, scripting, programmatic access, CI/CD pipelines."
"What is IAM and what are its core components?","A database service that stores user credentials and access logs with encryption at rest and in transit","A global service that manages access to AWS resources with Users (people/apps), Groups (collections of users), Roles (temporary permissions), and Policies (JSON permission documents)","A compute service that manages application permissions at runtime and enforces security policies dynamically","A networking service that controls traffic flow between AWS services and provides firewall capabilities","B","IAM (Identity and Access Management) is a global service that manages access to AWS resources. Core components: Users (people/apps), Groups (collections of users), Roles (temporary permissions), Policies (JSON permission documents)."
"What is Amazon S3 and what are its key durability characteristics and primary use cases?","A block storage service that provides persistent volumes for EC2 instances with 99.9% durability","An object storage service for any amount of data with 99.999999999% (11 nines) durability, unlimited storage, versioning, lifecycle policies. Use cases: backup, static websites, data lakes, content distribution","A relational database service that stores structured data with automatic backups and point-in-time recovery capabilities","A file system service that provides shared storage across multiple EC2 instances in the same Availability Zone","B","Amazon S3 is object storage for any amount of data. Key features: 99.999999999% (11 nines) durability, unlimited storage, versioning, lifecycle policies. Primary use cases: backup, static website hosting, data lakes, content distribution."
"What is Amazon EC2 and what are its key benefits compared to on-premises servers?","A storage service that provides scalable object storage with automatic replication across multiple Availability Zones","Resizable compute capacity (virtual servers) in the cloud with benefits: pay only for compute time, scalable on-demand, no upfront costs, multiple instance types and operating systems","A database service that provides managed relational databases with automatic backups, patching, and high availability features","A networking service that creates isolated virtual networks with complete control over IP ranges, subnets, and routing tables","B","Amazon EC2 provides resizable compute capacity (virtual servers) in the cloud. Benefits: pay only for compute time, scalable on-demand, no upfront costs, multiple instance types and operating systems."
"What is AWS Lambda and what are its primary benefits and use cases?","A container orchestration service that manages Docker containers across multiple EC2 instances automatically","A serverless compute service that runs code in response to events with benefits: no server management, automatic scaling, pay per request/compute time, integrated with AWS services. Use cases: event-driven apps, microservices, data processing","A virtual machine service that provides resizable compute capacity with pay-as-you-go pricing and multiple instance types","A workflow orchestration service that coordinates multiple AWS services to build complex applications with visual workflows","B","AWS Lambda is a serverless compute service that runs code in response to events. Benefits: no server management, automatic scaling, pay per request/compute time, integrated with AWS services. Use cases: event-driven apps, microservices, data processing."
"What databases does Amazon RDS support and what are its key management benefits?","Only MySQL and PostgreSQL with manual backup and patching requirements","MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, and Aurora with automated backups, patching, monitoring, scaling, and high availability with Multi-AZ deployments","Only NoSQL databases like DynamoDB with automatic scaling and global distribution capabilities","Only in-memory databases like Redis and Memcached with sub-millisecond latency for caching workloads","B","Amazon RDS is a managed relational database service supporting MySQL, PostgreSQL, MariaDB, Oracle, SQL Server, and Aurora. Benefits: automated backups, patching, monitoring, scaling, high availability with Multi-AZ deployments."
