Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is the difference between an IAM user and an IAM role, and when should you use each?","IAM Users are for applications only, while IAM Roles are exclusively for human users requiring console access with permanent credentials","IAM Users represent people or applications needing access to AWS. IAM Roles provide temporary credentials to AWS services or users without storing access keys. Use Users for people needing console access. Use Roles for applications, EC2 instances, Lambda functions, or cross-account access. Roles are more secure for programmatic access.","IAM Users provide temporary credentials that expire after 24 hours, while IAM Roles provide permanent credentials stored securely in AWS Secrets Manager","IAM Users and Roles are identical in functionality, with the only difference being the naming convention and visual representation in the AWS Console","B","IAM Users represent people or applications that need access to AWS. IAM Roles provide temporary credentials to AWS services or users without storing access keys. Use Users for people needing console access. Use Roles for applications, EC2 instances, Lambda functions, or cross-account access. Roles are more secure for programmatic access."
"How do IAM Groups simplify permission management, and can a user belong to multiple groups?","IAM Groups can contain other groups in a hierarchical structure, and users can only belong to one group at a time to maintain clear permission boundaries","IAM Groups are collections of IAM users that share permissions. Benefits: manage permissions for multiple users at once, users can belong to multiple groups, inheritance (users inherit permissions from all groups). Groups only contain users, not other groups. Simplifies permission management.","IAM Groups are automatically created based on user email domains and cannot be manually configured or modified by administrators","IAM Groups require each user to have identical permissions with no flexibility for individual user customization or exception handling","B","IAM Groups are collections of IAM users that share permissions. Benefits: manage permissions for multiple users at once, users can belong to multiple groups, inheritance (users inherit permissions from all groups). Groups only contain users, not other groups. Simplifies permission management."
"Why are IAM Roles preferred over access keys for applications running on EC2 instances?","Access keys provide better security with automatic rotation every 30 days and fine-grained permission control compared to IAM Roles","IAM Roles are preferred because: roles provide temporary credentials (auto-refresh), no credentials stored on instance, no rotation needed, fine-grained permissions, integrated with AWS services. Access keys are permanent and must be manually rotated. Roles are more secure.","IAM Roles require manual credential management and rotation, while access keys are automatically managed by AWS with built-in security features and encryption","Access keys and IAM Roles provide identical security and functionality, making the choice purely based on personal preference and deployment convenience","B","IAM Roles are preferred over access keys for EC2 instances because: roles provide temporary credentials (auto-refresh), no credentials stored on instance, no rotation needed, fine-grained permissions, integrated with AWS services. Access keys are permanent and must be manually rotated. Roles are more secure."
"How do IAM policies define permissions, and what is the structure of an IAM policy document?","IAM policies are XML documents with a hierarchical structure that defines permissions using tags and attributes for users, groups, and roles","IAM Policies are JSON documents that define permissions. Structure: Version (2012-10-17), Statement array with Effect (Allow/Deny), Principal (who), Action (what operations), Resource (which resources), Condition (optional restrictions). Policies are attached to users, groups, or roles.","IAM policies are binary configuration files that can only be created and modified using specialized AWS tools with no human-readable format available","IAM policies are automatically generated by AWS based on user behavior patterns and cannot be manually created or customized by administrators","B","IAM Policies are JSON documents that define permissions. Structure: Version (2012-10-17), Statement array with Effect (Allow/Deny), Principal (who), Action (what operations), Resource (which resources), Condition (optional restrictions). Policies are attached to users, groups, or roles."
"How can you enable Multi-Factor Authentication (MFA) for IAM users, and why is it critical for root accounts?","MFA can only be enabled through third-party authentication providers and requires integration with external identity management systems","Multi-Factor Authentication (MFA) adds a second authentication factor. Enable via: IAM console → Users → Security credentials → Assign MFA device. Options: Virtual MFA (phone app), Hardware MFA (physical device). Critical for root accounts to prevent unauthorized access. Required for sensitive operations.","MFA is automatically enabled for all IAM users by default and cannot be disabled, ensuring maximum security for all AWS accounts without any configuration needed","MFA can only be configured using hardware tokens purchased directly from AWS, with no support for software-based authentication methods or mobile applications","B","Multi-Factor Authentication (MFA) adds a second authentication factor. Enable via: IAM console → Users → Security credentials → Assign MFA device. Options: Virtual MFA (phone app), Hardware MFA (physical device). Critical for root accounts to prevent unauthorized access. Required for sensitive operations."
"How can IAM policies be used to implement the principle of least privilege?","Grant all users administrative access by default and restrict permissions only when security incidents occur or compliance audits require changes","Least Privilege means granting only the minimum permissions needed. Implement via: specific resource ARNs instead of wildcards, specific actions needed, use conditions (IP, time, MFA), regular access reviews with IAM Access Advisor, remove unused permissions. Regular audits ensure compliance.","Use wildcard permissions for all resources and actions to ensure users have maximum flexibility and can perform any required tasks without permission errors","Automatically grant permissions based on user job titles and department affiliations without reviewing actual access requirements or usage patterns","B","Least Privilege means granting only the minimum permissions needed. Implement via: specific resource ARNs instead of wildcards, specific actions needed, use conditions (IP, time, MFA), regular access reviews with IAM Access Advisor, remove unused permissions. Regular audits ensure compliance."
"Describe the steps to configure the AWS CLI for a new user, and where are credentials stored?","AWS CLI configuration requires manual editing of system registry files and environment variables with no interactive setup process available","Configure AWS CLI using: 'aws configure' command. Prompts for: Access Key ID, Secret Access Key, default region (e.g., us-east-1), output format (json/text/table). Credentials stored in ~/.aws/credentials (Linux/Mac) or %UserProfile%\.aws\credentials (Windows). Config stored in ~/.aws/config.","AWS CLI credentials are automatically retrieved from the AWS Console login session with no separate configuration required for command-line access","AWS CLI configuration files are stored in a centralized AWS-managed location that cannot be accessed or modified by users directly","B","Configure AWS CLI using: 'aws configure' command. Prompts for: Access Key ID, Secret Access Key, default region (e.g., us-east-1), output format (json/text/table). Credentials stored in ~/.aws/credentials (Linux/Mac) or %UserProfile%\.aws\credentials (Windows). Config stored in ~/.aws/config."
"How do AWS CLI profiles help manage multiple AWS accounts, and what command uses a specific profile?","AWS CLI profiles are automatically created based on IAM user names and cannot be manually configured or customized by users","AWS CLI Profiles manage multiple sets of credentials. Create: 'aws configure --profile profilename'. Use: 'aws s3 ls --profile profilename' or set AWS_PROFILE environment variable. Profiles stored in ~/.aws/config and ~/.aws/credentials. Useful for managing multiple AWS accounts or roles.","AWS CLI profiles are only available for Enterprise support plan customers and require additional licensing fees to enable multi-account management capabilities","Each AWS CLI profile requires a separate installation of the CLI tool with independent configuration files that cannot share credentials or settings","B","AWS CLI Profiles manage multiple sets of credentials. Create: 'aws configure --profile profilename'. Use: 'aws s3 ls --profile profilename' or set AWS_PROFILE environment variable. Profiles stored in ~/.aws/config and ~/.aws/credentials. Useful for managing multiple AWS accounts or roles."
"What command would you use to list all S3 buckets in your AWS account using the AWS CLI?","'aws s3 list-buckets' command lists all S3 buckets with detailed metadata including creation date, region, and encryption status for each bucket","Command to list all S3 buckets: 'aws s3 ls'. List objects in bucket: 'aws s3 ls s3://bucket-name'. Copy file: 'aws s3 cp file.txt s3://bucket-name/'. Sync directory: 'aws s3 sync ./local-folder s3://bucket-name/folder/'.","'aws s3 show-buckets' command displays all S3 buckets with their current storage usage and access permissions in a formatted table output","'aws s3 enumerate' command retrieves a complete list of all S3 buckets including deleted buckets from the past 30 days with restoration options","B","Command to list all S3 buckets: 'aws s3 ls'. List objects in bucket: 'aws s3 ls s3://bucket-name'. Copy file: 'aws s3 cp file.txt s3://bucket-name/'. Sync directory: 'aws s3 sync ./local-folder s3://bucket-name/folder/'."
"How can you change the output format of AWS CLI commands, and which format is best for scripting?","AWS CLI output format is fixed and cannot be changed, with all commands returning data in a standardized XML format regardless of configuration","Change AWS CLI output format: use --output flag ('aws s3 ls --output table') or set default in config. Formats: json (best for scripting/parsing), table (human-readable), text (tab-separated). For scripting, JSON is preferred as it's easily parseable.","Output format can only be changed by modifying system-level configuration files that require administrator privileges and system restart to take effect","The output format is automatically determined by AWS based on the command type, with compute commands using JSON and storage commands using table format by default","B","Change AWS CLI output format: use --output flag ('aws s3 ls --output table') or set default in config. Formats: json (best for scripting/parsing), table (human-readable), text (tab-separated). For scripting, JSON is preferred as it's easily parseable."
